epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.543,1.37391,1.50836,1.52082,0.60047,0.53112,0.54504,0.31967,1.41317,1.48167,1.54447,0.000660767,0.000660767,0.000660767
2,47.8764,1.39391,1.49769,1.51902,0.55027,0.47744,0.48159,0.28153,1.503,1.56639,1.62555,0.00130553,0.00130553,0.00130553
3,70.4291,1.39048,1.48644,1.52779,0.46491,0.53241,0.45373,0.2554,1.57208,1.63503,1.65081,0.00192829,0.00192829,0.00192829
4,93.3625,1.41473,1.52861,1.55692,0.56169,0.52256,0.50739,0.29251,1.45762,1.64132,1.58407,0.001901,0.001901,0.001901
5,116.56,1.39045,1.48145,1.54966,0.5524,0.49248,0.51151,0.29464,1.45895,1.56334,1.56638,0.001868,0.001868,0.001868
6,139.293,1.41924,1.46864,1.5576,0.55666,0.5188,0.4928,0.27343,1.53295,1.51358,1.62005,0.001835,0.001835,0.001835
7,161.767,1.39789,1.47627,1.53981,0.5646,0.53383,0.52354,0.3262,1.40149,1.45839,1.53298,0.001802,0.001802,0.001802
8,185.079,1.39932,1.45277,1.53522,0.58658,0.5174,0.55525,0.33079,1.42602,1.37476,1.5593,0.001769,0.001769,0.001769
9,208.409,1.36961,1.42192,1.51991,0.52174,0.56767,0.53904,0.321,1.45092,1.40117,1.55288,0.001736,0.001736,0.001736
10,232.2,1.37069,1.40537,1.51773,0.62095,0.48496,0.54867,0.33301,1.40209,1.47334,1.53075,0.001703,0.001703,0.001703
11,254.847,1.33661,1.36133,1.48432,0.52924,0.57895,0.56459,0.35278,1.35621,1.34365,1.48378,0.00167,0.00167,0.00167
12,278.453,1.33297,1.36138,1.4952,0.57693,0.57519,0.5729,0.35219,1.3969,1.33983,1.47178,0.001637,0.001637,0.001637
13,301.304,1.34433,1.34668,1.48251,0.56679,0.54135,0.5299,0.3221,1.39323,1.38639,1.52002,0.001604,0.001604,0.001604
14,323.815,1.32116,1.34152,1.47908,0.6037,0.52974,0.56392,0.3442,1.40374,1.30469,1.51791,0.001571,0.001571,0.001571
15,346.279,1.31596,1.3302,1.4802,0.57053,0.57707,0.57799,0.35453,1.40644,1.30346,1.50377,0.001538,0.001538,0.001538
16,368.259,1.2957,1.31304,1.46636,0.53786,0.50317,0.49124,0.31598,1.37182,1.48559,1.53851,0.001505,0.001505,0.001505
17,390.839,1.30539,1.30237,1.47455,0.62239,0.54887,0.60574,0.38266,1.33654,1.27038,1.45153,0.001472,0.001472,0.001472
18,413.686,1.3242,1.30293,1.47657,0.63737,0.57487,0.5946,0.37314,1.37952,1.30861,1.49163,0.001439,0.001439,0.001439
19,435.972,1.27611,1.27049,1.44764,0.57692,0.52256,0.55849,0.34063,1.44791,1.33587,1.54547,0.001406,0.001406,0.001406
20,457.263,1.27495,1.24912,1.45579,0.62458,0.52256,0.56543,0.36323,1.36411,1.34398,1.51062,0.001373,0.001373,0.001373
21,479.642,1.26413,1.21653,1.44053,0.56353,0.54699,0.54739,0.33962,1.46177,1.35486,1.56513,0.00134,0.00134,0.00134
22,503.099,1.28861,1.23681,1.4466,0.58886,0.60843,0.60055,0.37395,1.34766,1.26749,1.48114,0.001307,0.001307,0.001307
23,525.127,1.26922,1.21549,1.43354,0.57498,0.57519,0.5679,0.36201,1.34759,1.26069,1.47695,0.001274,0.001274,0.001274
24,546.679,1.24486,1.19226,1.42353,0.59911,0.58711,0.62299,0.38358,1.38326,1.24182,1.49502,0.001241,0.001241,0.001241
25,569.053,1.23902,1.1946,1.41624,0.56246,0.6109,0.57279,0.3552,1.37208,1.34154,1.49368,0.001208,0.001208,0.001208
26,591.514,1.22977,1.22458,1.42254,0.5569,0.61896,0.61485,0.40088,1.31038,1.20953,1.44074,0.001175,0.001175,0.001175
27,612.841,1.22041,1.17474,1.40202,0.6107,0.55075,0.61272,0.39029,1.29947,1.21082,1.42841,0.001142,0.001142,0.001142
28,634.881,1.19305,1.13942,1.38332,0.64801,0.55369,0.63028,0.40301,1.31315,1.19371,1.44433,0.001109,0.001109,0.001109
29,657.414,1.19857,1.12474,1.37873,0.54371,0.6015,0.59051,0.38092,1.30359,1.24118,1.46078,0.001076,0.001076,0.001076
30,679.762,1.20806,1.13207,1.39072,0.55567,0.6203,0.59899,0.38948,1.30799,1.17974,1.46658,0.001043,0.001043,0.001043
31,701.01,1.21084,1.12808,1.38829,0.62894,0.56391,0.62091,0.40097,1.29213,1.19393,1.41892,0.00101,0.00101,0.00101
32,724.808,1.19611,1.11061,1.39094,0.62156,0.61842,0.63011,0.40166,1.28745,1.16614,1.44585,0.000977,0.000977,0.000977
33,747.152,1.20395,1.10714,1.39147,0.64193,0.54699,0.60904,0.39578,1.33008,1.18574,1.45604,0.000944,0.000944,0.000944
34,769.516,1.2059,1.13588,1.39491,0.6164,0.62525,0.6348,0.41794,1.27844,1.12068,1.42622,0.000911,0.000911,0.000911
35,790.815,1.15502,1.05499,1.3592,0.61937,0.62594,0.65908,0.42528,1.29147,1.10999,1.41488,0.000878,0.000878,0.000878
36,813.115,1.15771,1.05613,1.36029,0.62049,0.65602,0.6574,0.4275,1.25767,1.12129,1.40774,0.000845,0.000845,0.000845
37,835.631,1.18542,1.08268,1.36096,0.58257,0.66896,0.65154,0.42436,1.27068,1.11882,1.38829,0.000812,0.000812,0.000812
38,858.024,1.16151,1.07389,1.35768,0.5816,0.66165,0.6525,0.4295,1.25849,1.09784,1.40676,0.000779,0.000779,0.000779
39,879.921,1.15278,1.0528,1.3555,0.61399,0.62406,0.65361,0.42761,1.25519,1.12048,1.38819,0.000746,0.000746,0.000746
40,902.628,1.1502,1.04489,1.34701,0.65617,0.59962,0.662,0.43813,1.26585,1.09969,1.39152,0.000713,0.000713,0.000713
41,925.534,1.12845,1.02663,1.34211,0.58928,0.65226,0.64186,0.41409,1.27771,1.14086,1.4046,0.00068,0.00068,0.00068
42,947.649,1.15363,1.03236,1.3522,0.61523,0.65789,0.67169,0.44522,1.23465,1.07769,1.39147,0.000647,0.000647,0.000647
43,970.878,1.15111,1.05066,1.33866,0.58895,0.62406,0.63827,0.42308,1.23449,1.10661,1.39406,0.000614,0.000614,0.000614
44,993.429,1.12057,1.01199,1.33371,0.56374,0.70198,0.65976,0.44058,1.22084,1.06982,1.36071,0.000581,0.000581,0.000581
45,1016.33,1.11716,1.01674,1.33116,0.58225,0.66353,0.65484,0.43523,1.24667,1.08261,1.39455,0.000548,0.000548,0.000548
46,1037.68,1.1175,1.03095,1.33242,0.65383,0.58835,0.65803,0.44491,1.23206,1.0809,1.37563,0.000515,0.000515,0.000515
47,1060.04,1.11579,0.98706,1.33016,0.59926,0.64098,0.66499,0.4499,1.22478,1.07542,1.37173,0.000482,0.000482,0.000482
48,1082.7,1.0943,0.97474,1.31207,0.59186,0.67481,0.66209,0.4352,1.25092,1.07395,1.37572,0.000449,0.000449,0.000449
49,1104.51,1.11245,0.98042,1.31736,0.62909,0.6391,0.66524,0.45205,1.20556,1.08167,1.35272,0.000416,0.000416,0.000416
50,1126.08,1.09669,0.96783,1.31627,0.63293,0.61906,0.65573,0.4484,1.22066,1.07435,1.36779,0.000383,0.000383,0.000383
51,1149.21,1.05292,0.93202,1.29773,0.61821,0.65744,0.65313,0.44515,1.2206,1.06102,1.35936,0.00035,0.00035,0.00035
52,1170.99,1.0072,0.86727,1.27226,0.62909,0.6297,0.66166,0.4489,1.22296,1.08699,1.36665,0.000317,0.000317,0.000317
53,1192.87,1.02254,0.85548,1.27956,0.59951,0.68376,0.67268,0.45411,1.22797,1.07081,1.36787,0.000284,0.000284,0.000284
54,1213.97,1.00678,0.83887,1.26686,0.60217,0.65789,0.66282,0.44788,1.21625,1.08154,1.3683,0.000251,0.000251,0.000251
55,1235.68,1.00329,0.84524,1.27372,0.6528,0.62782,0.67481,0.4567,1.20155,1.05871,1.35066,0.000218,0.000218,0.000218
56,1256.49,0.99972,0.83126,1.26181,0.63612,0.6203,0.6699,0.45496,1.2111,1.05101,1.36146,0.000185,0.000185,0.000185
57,1277.84,0.98545,0.82312,1.24446,0.62102,0.63534,0.66875,0.45255,1.20512,1.04865,1.35455,0.000152,0.000152,0.000152
58,1300.27,0.99557,0.81571,1.26631,0.61196,0.65226,0.6739,0.45912,1.20392,1.04349,1.3579,0.000119,0.000119,0.000119
