epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7997,1.65477,1.96111,1.84963,0.03175,0.00376,0.02077,0.01028,nan,nan,nan,0.000660767,0.000660767,0.000660767
2,170.009,1.65508,1.94108,1.85347,0.41693,0.01316,0.02359,0.01416,nan,nan,nan,0.00130553,0.00130553,0.00130553
3,256.555,1.62623,1.90008,1.84497,0.38424,0.34586,0.27926,0.12923,1.88281,2.2439,2.20816,0.00192829,0.00192829,0.00192829
4,339.613,1.62822,1.93817,1.85841,0.39626,0.34586,0.28773,0.13651,1.89988,2.2838,2.07312,0.001901,0.001901,0.001901
5,420.982,1.61608,1.88468,1.86572,0.43369,0.41314,0.37205,0.18645,1.7184,1.85394,1.97509,0.001868,0.001868,0.001868
6,505.009,1.60081,1.81354,1.81921,0.44991,0.38534,0.36769,0.1966,1.6587,1.91628,1.9095,0.001835,0.001835,0.001835
7,587.13,1.55116,1.76591,1.78195,0.49887,0.43233,0.41407,0.22209,1.61975,1.77708,1.84366,0.001802,0.001802,0.001802
8,674.213,1.54764,1.76012,1.76147,0.41965,0.40912,0.3387,0.16638,nan,nan,nan,0.001769,0.001769,0.001769
9,755.137,1.51518,1.73487,1.76382,0.44959,0.45489,0.41602,0.23453,1.56897,1.71388,1.78705,0.001736,0.001736,0.001736
10,847.772,1.49818,1.68001,1.74334,0.5166,0.48814,0.49308,0.27395,1.5532,1.60756,1.81241,0.001703,0.001703,0.001703
11,935.107,1.46275,1.6146,1.70435,0.51069,0.44361,0.44474,0.24522,1.56026,1.70105,1.84564,0.00167,0.00167,0.00167
12,1021.73,1.45932,1.6579,1.7237,0.57426,0.41729,0.46433,0.27085,1.50498,1.68326,1.77673,0.001637,0.001637,0.001637
13,1107.33,1.44708,1.62026,1.69222,0.55072,0.49812,0.52012,0.29654,1.4526,1.63149,1.71494,0.001604,0.001604,0.001604
14,1204.17,1.42687,1.58437,1.68444,0.48091,0.49812,0.47922,0.26274,1.46224,1.62779,1.75659,0.001571,0.001571,0.001571
15,1281.22,1.40639,1.54861,1.6857,0.58851,0.49248,0.51306,0.30165,1.46277,1.49396,1.71797,0.001538,0.001538,0.001538
16,1372.86,1.389,1.56661,1.66406,0.5491,0.50376,0.51173,0.30325,1.4481,1.50397,1.75065,0.001505,0.001505,0.001505
17,1461.44,1.39054,1.52295,1.67361,0.50499,0.48706,0.46881,0.29007,1.51623,1.54374,1.73969,0.001472,0.001472,0.001472
18,1542.6,1.42788,1.55653,1.67993,0.48382,0.48803,0.46084,0.25984,1.53353,1.6022,1.80458,0.001439,0.001439,0.001439
19,1630.27,1.3834,1.49308,1.67565,0.60884,0.54699,0.54239,0.32505,1.45035,1.47223,1.72754,0.001406,0.001406,0.001406
20,1717.34,1.36302,1.47499,1.64763,0.5777,0.44361,0.47598,0.29024,1.44372,1.59017,1.69734,0.001373,0.001373,0.001373
21,1798.81,1.33806,1.42573,1.61677,0.54291,0.54511,0.54986,0.32054,1.52622,1.40575,1.75285,0.00134,0.00134,0.00134
22,1886.21,1.38878,1.45007,1.64373,0.51233,0.5282,0.52152,0.31769,1.44131,1.44513,1.69032,0.001307,0.001307,0.001307
23,1968.4,1.36125,1.41982,1.62347,0.53859,0.5617,0.55921,0.33557,1.49256,1.40613,1.75911,0.001274,0.001274,0.001274
24,2064.1,1.32791,1.37978,1.61768,0.54793,0.52173,0.52085,0.3239,1.35259,1.43866,1.64994,0.001241,0.001241,0.001241
25,2144.3,1.32467,1.39654,1.61508,0.54513,0.54699,0.52995,0.31982,1.40259,1.48794,1.6852,0.001208,0.001208,0.001208
26,2230.75,1.3167,1.44053,1.60283,0.5744,0.50188,0.53985,0.34253,1.33754,1.36977,1.653,0.001175,0.001175,0.001175
27,2317.97,1.29949,1.36821,1.58567,0.53437,0.55639,0.54029,0.33605,1.42143,1.35698,1.6959,0.001142,0.001142,0.001142
28,2399.3,1.27384,1.30654,1.56433,0.61391,0.54397,0.58423,0.364,1.39282,1.30739,1.67078,0.001109,0.001109,0.001109
29,2488.43,1.25945,1.29027,1.54918,0.60006,0.49248,0.55482,0.35716,1.33913,1.37564,1.62368,0.001076,0.001076,0.001076
30,2575.22,1.28951,1.33146,1.57579,0.56382,0.56015,0.55669,0.35414,1.33655,1.34281,1.61251,0.001043,0.001043,0.001043
31,2655.98,1.27445,1.31017,1.55442,0.60479,0.56391,0.58905,0.37885,1.34811,1.30359,1.59862,0.00101,0.00101,0.00101
32,2746.83,1.24058,1.26092,1.54756,0.59642,0.53335,0.57917,0.36825,1.34338,1.33153,1.64216,0.000977,0.000977,0.000977
33,2830.44,1.26544,1.26181,1.55796,0.58104,0.52256,0.56286,0.36119,1.41147,1.32775,1.68857,0.000944,0.000944,0.000944
34,2911.37,1.27329,1.28526,1.57419,0.5921,0.49933,0.56876,0.36808,1.34534,1.32956,1.61671,0.000911,0.000911,0.000911
35,2997.5,1.22531,1.22426,1.53641,0.56564,0.55639,0.56285,0.35049,1.36846,1.31576,1.65288,0.000878,0.000878,0.000878
36,3079.95,1.21364,1.19443,1.52059,0.58841,0.56203,0.58465,0.37456,1.31992,1.29603,1.61217,0.000845,0.000845,0.000845
